City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,luanda,-8.8368,13.2343,68.0,88,75,4.61,AO,1687761678
149,khovd,48.0056,91.6419,67.35,21,28,14.12,MN,1687761903
150,iskateley,67.6803,53.1512,51.55,55,100,14.03,RU,1687761904
151,walvis bay,-22.9575,14.5053,57.09,80,100,8.66,NA,1687761904
152,saipan,15.1355,145.701,88.5,100,20,14.97,MP,1687761906
153,san antonio de pale,-1.4014,5.6325,76.05,76,44,5.48,GQ,1687761906
154,morehead city,34.7229,-76.726,79.02,91,0,10.36,US,1687761906
155,jabor,5.921,169.6434,77.97,93,100,11.65,MH,1687761907
156,puerto san jose,13.9256,-90.8244,76.17,88,100,6.93,GT,1687761907
157,simanggang,1.2472,111.4528,82.38,89,40,3.44,MY,1687761908
158,lucapa,-8.4192,20.7447,70.39,32,87,5.86,AO,1687761908
159,bayanhongor,46.7167,100.1167,63.84,20,12,23.0,MN,1687761909
160,lebu,-37.6167,-73.65,51.64,87,88,11.21,CL,1687761909
161,kashgar,39.4547,75.9797,83.41,36,20,20.13,CN,1687761726
162,tafresh,34.692,50.013,76.48,29,0,9.48,IR,1687761910
163,vazante,-17.9869,-46.9078,57.43,70,66,1.74,BR,1687761910
164,al kharijah,25.4514,30.5464,90.81,19,0,12.48,EG,1687761911
165,crane,31.3974,-102.3501,88.81,32,0,15.14,US,1687761911
166,port elizabeth,-33.918,25.5701,57.09,97,100,9.22,ZA,1687761912
167,yeraliyev,43.2,51.65,81.46,39,0,11.25,KZ,1687761912
168,taulaga,-11.0553,-171.0883,83.5,74,11,13.49,AS,1687761913
169,inongo,-1.95,18.2667,70.11,89,90,4.43,CD,1687761913
170,la passe,45.5549,-0.8967,66.43,76,97,8.95,FR,1687761913
171,santo antonio,-6.3106,-35.4789,69.26,98,89,7.18,BR,1687761914
172,nova sintra,14.8667,-24.7167,68.67,80,8,18.48,CV,1687761914
173,trevelin,-43.0858,-71.4639,38.68,95,34,5.1,AR,1687761915
174,tazovsky,67.4667,78.7,52.43,48,100,4.16,RU,1687761915
175,sechura,-5.5569,-80.8222,72.37,76,100,7.52,PE,1687761916
176,vorgashor,67.5833,63.95,55.44,77,100,7.63,RU,1687761916
177,udachny,66.4167,112.4,73.45,30,100,11.43,RU,1687761917
178,aykhal,66.0,111.5,68.86,33,100,11.16,RU,1687761917
179,guerrero negro,27.9769,-114.0611,63.0,82,0,15.26,MX,1687761918
180,okhotsk,59.3833,143.3,59.11,77,11,8.59,RU,1687761918
181,kristiansund,63.1115,7.732,72.25,49,0,2.3,NO,1687761919
182,keflavik,64.0049,-22.5624,52.23,93,40,14.97,IS,1687761919
183,whitehorse,60.7161,-135.0538,56.17,66,75,15.01,CA,1687761921
184,mount pearl,47.5166,-52.7813,44.46,96,100,9.22,CA,1687761921
185,lindi,-10.0,39.7167,78.46,52,46,9.95,TZ,1687761922
186,mahina,-17.5065,-149.489,78.57,73,20,10.36,PF,1687761922
187,santa isabel,-23.3156,-46.2214,56.5,90,0,2.17,BR,1687761922
188,moree,-29.4667,149.85,55.08,40,0,7.61,AU,1687761923
189,coquimbo,-29.9533,-71.3436,56.93,88,20,6.91,CL,1687761923
190,enewetak,11.3474,162.3373,83.12,81,100,17.47,MH,1687761924
191,pedra azul,-16.0053,-41.2972,58.21,97,100,1.61,BR,1687761924
192,polyarnyy,69.1989,33.4478,50.95,90,99,11.45,RU,1687761925
193,dudinka,69.4058,86.1778,58.62,60,83,12.73,RU,1687761925
194,atafu village,-8.5421,-172.5159,83.93,75,6,13.87,TK,1687761926
195,afaahiti,-17.75,-149.2833,76.87,78,16,16.96,PF,1687761926
196,west hattiesburg,31.3191,-89.3751,73.06,90,40,9.22,US,1687761926
197,the bottom,17.6259,-63.2492,77.56,74,21,10.07,BQ,1687761927
198,howrah,22.5892,88.3103,86.0,79,75,5.75,IN,1687761927
199,dhalie,13.6957,44.7314,80.85,50,31,8.84,YE,1687761928
200,lapua,62.9693,23.0088,75.11,42,1,6.35,FI,1687761928
201,tura,25.5198,90.2201,85.21,74,46,8.46,IN,1687761929
202,el porvenir,13.7617,-87.3458,74.53,82,93,4.34,HN,1687761929
203,puerto baquerizo moreno,-0.9,-89.6,75.38,79,92,12.59,EC,1687761929
204,ambodifotatra,-16.9833,49.85,73.9,63,100,14.2,MG,1687761930
205,bulawayo,-20.15,28.5833,58.42,34,0,5.61,ZW,1687761930
206,sinabang,2.4803,96.3801,83.1,74,44,1.1,ID,1687761931
207,arkhangel'sk,64.5401,40.5433,72.03,43,85,5.17,RU,1687761815
208,hithadhoo,-0.6,73.0833,82.56,76,100,11.5,MV,1687761932
209,noormarkku,61.5927,21.8685,67.78,68,0,3.44,FI,1687761932
210,cidreira,-30.1811,-50.2056,64.11,96,38,6.62,BR,1687761933
211,zavetnoye,47.1194,43.8903,72.28,47,100,12.84,RU,1687761933
212,colonia,50.9333,6.95,71.46,69,0,14.97,DE,1687761934
213,daru,-9.0763,143.2092,78.51,84,100,15.9,PG,1687761935
214,fort bragg,35.139,-79.006,77.58,83,0,6.91,US,1687761935
215,taoudenni,22.6783,-3.9836,94.19,11,0,8.37,ML,1687761935
216,hulan,45.9833,126.6,91.51,18,100,13.27,CN,1687761936
217,leona vicario,20.9667,-87.1917,80.47,98,73,2.53,MX,1687761936
218,kokstad,-30.5472,29.4241,53.01,45,0,1.74,ZA,1687761937
219,siquijor,9.2142,123.515,85.91,73,16,14.61,PH,1687761937
220,breckenridge,32.7557,-98.9023,88.0,51,0,9.22,US,1687761938
221,mili,6.0815,171.735,82.65,82,100,17.63,MH,1687761938
222,remire-montjoly,4.9167,-52.2667,75.24,100,75,2.3,GF,1687761938
223,sydney mines,46.2367,-60.2177,56.19,96,100,11.01,CA,1687761939
224,hede,33.7681,120.2517,84.85,60,28,10.22,CN,1687761939
225,katsuren-haebaru,26.3369,127.8719,88.18,68,40,12.66,JP,1687761940
226,namsos,64.4662,11.4957,71.65,49,4,12.66,NO,1687761940
227,punta gorda,26.9298,-82.0454,79.0,92,0,4.0,US,1687761941
228,saint-philippe,-21.3585,55.7679,72.99,64,3,7.76,RE,1687761941
229,lincheng,19.9078,109.6858,87.22,69,100,7.83,CN,1687761942
230,deqen,29.9618,90.7188,65.66,44,100,5.61,CN,1687761942
231,goroka,-6.0834,145.3873,67.93,78,94,4.05,PG,1687761943
232,stanley,54.868,-1.6985,60.75,83,20,11.5,GB,1687761943
233,brookings,44.3114,-96.7984,62.6,82,0,10.36,US,1687761944
234,queenstown,-31.8976,26.8753,51.21,84,82,2.98,ZA,1687761718
235,wangkui,46.8333,126.5,99.63,16,100,14.94,CN,1687761945
236,smithers,54.7804,-127.1743,66.52,48,0,12.66,CA,1687761945
237,qinzhou,21.95,108.6167,86.31,71,100,5.23,CN,1687761945
238,new ulm,44.3125,-94.4605,66.43,82,100,11.5,US,1687761946
239,kaa-khem,51.6833,94.7333,67.62,30,100,11.5,RU,1687761946
240,las lomitas,-24.7096,-60.593,73.42,56,0,8.84,AR,1687761947
241,port alfred,-33.5906,26.891,57.18,95,100,5.99,ZA,1687761947
242,amungan,15.3652,119.9582,83.98,76,100,3.71,PH,1687761948
243,vila franca do campo,37.7167,-25.4333,66.61,83,1,5.01,PT,1687761948
244,haiku-pauwela,20.9219,-156.3051,75.22,79,20,14.97,US,1687761949
245,oelwein,42.6733,-91.9135,65.62,96,74,11.01,US,1687761950
246,linhares,-19.3911,-40.0722,66.36,95,97,1.01,BR,1687761951
247,road town,18.4167,-64.6167,80.69,73,85,8.08,VG,1687761951
248,rabaul,-4.1967,152.1721,78.08,86,100,16.75,PG,1687761952
249,jamestown,42.097,-79.2353,67.59,94,75,5.75,US,1687761939
250,klyuchi,52.2667,79.1667,74.89,26,99,11.36,RU,1687761952
251,noshiro,40.2039,140.0242,81.43,69,100,6.31,JP,1687761953
